iter	Passed	Remaining
445	1137	1413
446	1140	1410
447	1142	1407
448	1143	1403
449	1145	1399
450	1146	1395
451	1148	1392
452	1155	1395
453	1159	1394
454	1161	1391
455	1166	1391
456	1172	1393
457	1174	1389
458	1175	1385
459	1177	1382
460	1178	1378
461	1180	1374
462	1181	1370
463	1183	1366
464	1184	1363
465	1188	1361
466	1189	1357
467	1191	1354
468	1192	1350
469	1194	1346
470	1196	1343
471	1197	1339
472	1199	1335
473	1201	1333
474	1202	1329
475	1204	1325
476	1205	1321
477	1206	1318
478	1208	1314
479	1209	1310
480	1215	1312
481	1218	1309
482	1222	1308
483	1226	1307
484	1233	1309
485	1234	1306
486	1236	1302
487	1237	1298
488	1239	1294
489	1240	1291
490	1242	1288
491	1244	1284
492	1245	1280
493	1247	1277
494	1250	1275
495	1251	1271
496	1253	1268
497	1254	1264
498	1256	1261
499	1257	1257
500	1259	1254
501	1260	1250
502	1262	1247
503	1264	1243
504	1265	1240
505	1266	1236
506	1268	1233
507	1270	1230
508	1271	1226
509	1278	1228
510	1282	1227
511	1285	1225
512	1291	1225
513	1295	1224
514	1297	1222
515	1299	1218
516	1301	1216
517	1304	1213
518	1311	1215
519	1313	1212
520	1315	1209
521	1317	1206
522	1319	1203
523	1321	1200
524	1322	1196
525	1324	1193
526	1325	1190
527	1327	1186
528	1328	1183
529	1330	1179
530	1334	1178
531	1337	1176
532	1343	1177
533	1346	1175
534	1350	1173
535	1358	1175
536	1361	1173
537	1365	1172
538	1366	1168
539	1367	1165
540	1370	1162
541	1372	1159
542	1374	1156
543	1375	1153
544	1376	1149
545	1378	1146
546	1380	1143
547	1382	1140
548	1384	1137
549	1386	1134
550	1388	1131
551	1389	1127
552	1391	1124
553	1393	1121
554	1395	1118
555	1397	1115
556	1405	1118
557	1411	1118
558	1418	1119
559	1421	1117
560	1423	1113
561	1425	1110
562	1427	1107
563	1428	1104
564	1430	1101
565	1434	1100
566	1436	1096
567	1437	1093
568	1438	1089
569	1440	1086
570	1442	1083
571	1443	1080
572	1445	1077
573	1448	1074
574	1450	1072
575	1452	1069
576	1453	1065
577	1457	1064
578	1463	1064
579	1466	1061
580	1471	1061
581	1476	1060
582	1477	1057
583	1479	1054
584	1481	1050
585	1482	1047
586	1484	1044
587	1485	1040
588	1486	1037
589	1488	1034
590	1489	1030
591	1491	1027
592	1493	1025
593	1495	1022
594	1496	1018
595	1499	1016
596	1500	1012
597	1501	1009
598	1503	1006
599	1505	1003
600	1507	1000
601	1508	997
602	1511	994
603	1514	992
604	1526	996
605	1537	999
606	1541	998
607	1544	996
608	1546	993
609	1548	990
610	1550	987
611	1552	984
612	1555	981
613	1556	978
614	1558	975
615	1559	972
616	1560	968
617	1562	965
618	1564	962
619	1566	960
620	1567	956
621	1569	953
622	1570	950
623	1572	947
624	1573	944
625	1575	941
626	1589	945
627	1595	945
628	1601	944
629	1602	941
630	1604	938
631	1605	935
632	1607	931
633	1608	928
634	1610	925
635	1612	922
636	1613	919
637	1616	917
638	1618	914
639	1619	911
640	1621	908
641	1622	904
642	1624	901
643	1625	898
644	1627	895
645	1628	892
646	1630	889
647	1632	886
648	1633	883
649	1635	880
650	1636	877
651	1638	874
652	1639	871
653	1646	871
654	1649	869
655	1652	866
656	1659	866
657	1662	864
658	1664	861
659	1666	858
660	1667	855
661	1669	852
662	1670	849
663	1672	846
664	1674	843
665	1677	841
666	1678	838
667	1680	835
668	1681	832
669	1683	829
670	1685	826
671	1686	823
672	1688	820
673	1689	817
674	1692	814
675	1693	811
676	1695	808
677	1696	805
678	1698	802
679	1699	799
680	1701	796
681	1707	796
682	1711	794
683	1713	791
684	1718	790
685	1722	788
686	1724	785
687	1725	782
688	1727	779
689	1728	776
690	1730	773
691	1731	770
692	1733	767
693	1734	764
694	1736	761
695	1738	759
696	1739	756
697	1741	753
698	1742	750
699	1743	747
700	1744	744
701	1746	741
702	1748	738
703	1749	735
704	1751	732
705	1752	729
706	1754	726
707	1755	724
708	1757	721
709	1758	718
710	1759	715
711	1760	712
712	1767	711
713	1770	709
714	1772	706
715	1776	704
716	1779	702
717	1784	700
718	1785	697
719	1787	695
720	1788	692
721	1790	689
722	1791	686
723	1792	683
724	1794	680
725	1798	678
726	1799	675
727	1801	673
728	1803	670
729	1804	667
730	1805	664
731	1806	661
732	1808	658
733	1809	655
734	1812	653
735	1813	650
736	1814	647
737	1816	644
738	1817	641
739	1820	639
740	1821	636
741	1834	637
742	1837	635
743	1844	634
744	1847	632
745	1849	629
746	1850	626
747	1852	623
748	1853	621
749	1854	618
750	1856	615
751	1860	613
752	1861	610
753	1863	607
754	1864	604
755	1865	602
756	1867	599
757	1868	596
758	1870	593
759	1871	591
760	1874	588
761	1876	586
762	1877	583
763	1879	580
764	1880	577
765	1882	575
766	1896	576
767	1900	574
768	1909	573
769	1911	570
770	1913	568
771	1914	565
772	1916	562
773	1917	559
774	1921	557
775	1922	554
776	1924	552
777	1925	549
778	1926	546
779	1928	543
780	1930	541
781	1931	538
782	1933	535
783	1935	533
784	1936	530
785	1937	527
786	1939	524
787	1940	522
788	1942	519
789	1943	516
790	1944	513
791	1953	512
792	1955	510
793	1961	508
794	1967	507
795	1969	504
796	1970	501
797	1972	499
798	1973	496
799	1974	493
800	1976	491
801	1978	488
802	1979	485
803	1983	483
804	1984	480
805	1986	478
806	1987	475
807	1989	472
808	1990	469
809	1991	467
810	1992	464
811	1994	461
812	1996	459
813	1997	456
814	1999	453
815	2001	451
816	2002	448
817	2004	445
818	2007	443
819	2015	442
820	2017	439
821	2021	437
822	2028	436
823	2030	433
824	2032	431
825	2033	428
826	2035	425
827	2036	423
828	2037	420
829	2039	417
830	2042	415
831	2044	412
832	2045	410
833	2047	407
834	2048	404
835	2049	402
836	2051	399
837	2052	396
838	2053	394
839	2055	391
840	2056	388
841	2058	386
842	2060	383
843	2061	380
844	2062	378
845	2063	375
846	2065	373
847	2071	371
848	2077	369
849	2080	367
850	2083	364
851	2089	362
852	2090	360
853	2091	357
854	2092	354
855	2094	352
856	2096	349
857	2097	347
858	2098	344
859	2099	341
860	2104	339
861	2105	337
862	2106	334
863	2107	331
864	2108	329
865	2110	326
866	2111	323
867	2112	321
868	2114	318
869	2116	316
870	2118	313
871	2119	311
872	2120	308
873	2122	305
874	2123	303
875	2125	300
876	2126	298
877	2133	296
878	2137	294
879	2141	292
880	2144	289
881	2149	287
882	2151	285
883	2152	282
884	2153	279
885	2154	277
886	2155	274
887	2156	272
888	2158	269
889	2159	266
890	2161	264
891	2164	262
892	2165	259
893	2167	256
894	2168	254
895	2170	251
896	2171	249
897	2172	246
898	2173	244
899	2175	241
900	2177	239
901	2178	236
902	2179	234
903	2180	231
904	2181	229
905	2183	226
906	2184	223
907	2185	221
908	2186	218
909	2190	216
910	2195	214
911	2197	212
912	2201	209
913	2207	207
914	2208	205
915	2210	202
916	2212	200
917	2213	197
918	2214	195
919	2215	192
920	2217	190
921	2218	187
922	2220	185
923	2223	182
924	2224	180
925	2225	177
926	2226	175
927	2228	172
928	2229	170
929	2231	167
930	2232	165
931	2233	162
932	2234	160
933	2236	158
934	2237	155
935	2239	153
936	2240	150
937	2241	148
938	2242	145
939	2244	143
940	2246	140
941	2255	138
942	2259	136
943	2263	134
944	2269	132
945	2270	129
946	2271	127
947	2272	124
948	2274	122
949	2275	119
950	2276	117
951	2277	114
952	2279	112
953	2280	109
954	2282	107
955	2285	105
956	2286	102
957	2287	100
958	2289	97
959	2290	95
960	2292	93
961	2293	90
962	2294	88
963	2296	85
964	2297	83
965	2298	80
966	2299	78
967	2301	76
968	2302	73
969	2304	71
970	2305	68
971	2306	66
972	2314	64
973	2317	61
974	2322	59
975	2324	57
976	2330	54
977	2331	52
978	2332	50
979	2333	47
980	2334	45
981	2335	42
982	2337	40
983	2338	38
984	2340	35
985	2343	33
986	2345	30
987	2347	28
988	2348	26
989	2349	23
990	2351	21
991	2352	18
992	2353	16
993	2354	14
994	2356	11
995	2359	9
996	2360	7
997	2362	4
998	2363	2
999	2365	0
